Class1,Class2,Count,emg1,emg2,old_emg1,Old_emg2
Thumb,Flick,1,0.27,0.25,0,0
Thumb,Flick,2,0.26,0.25,0.27,0
Thumb,Flick,3,0.26,0.22,0.27,0.25
Thumb,Flick,4,0.23,0.22,0.26,0.25
Thumb,Flick,5,0.23,0.18,0.26,0.22
Thumb,Flick,6,0.22,0.18,0.23,0.22
Thumb,Flick,7,0.22,0.20,0.23,0.18
Thumb,Flick,8,0.27,0.20,0.22,0.18
Thumb,Flick,9,0.27,0.18,0.22,0.20
Thumb,Flick,10,0.30,0.18,0.27,0.20
Thumb,Flick,1,0.37,0.23,0.30,0.18
Thumb,Flick,2,0.38,0.23,0.37,0.18
Thumb,Flick,3,0.77,0.31,0.38,0.23
Thumb,Flick,4,1.18,0.31,0.77,0.23
Thumb,Flick,5,1.18,0.87,0.77,0.31
Thumb,Flick,6,1.25,0.87,1.18,0.31
Thumb,Flick,7,1.25,2.31,1.18,0.87
Thumb,Flick,8,1.24,2.31,1.25,0.87
Thumb,Flick,9,1.24,1.09,1.25,2.31
Thumb,Flick,10,1.28,1.09,1.24,2.31
Thumb,Flick,1,1.28,1.48,1.24,1.09
Thumb,Flick,2,1.96,1.48,1.28,1.09
Thumb,Flick,3,1.96,2.99,1.28,1.48
Thumb,Flick,4,1.44,2.99,1.96,1.48
Thumb,Flick,5,1.44,2.16,1.96,2.99
Thumb,Flick,6,1.28,2.16,1.44,2.99
Thumb,Flick,7,1.28,1.10,1.44,2.16
Thumb,Flick,8,1.14,1.10,1.28,2.16
Thumb,Flick,9,1.14,1.09,1.28,1.10
Thumb,Flick,10,1.58,1.09,1.14,1.10
Thumb,Flick,1,1.58,2.31,1.14,1.09
Thumb,Flick,2,1.13,2.31,1.58,1.09
Thumb,Flick,3,1.13,1.45,1.58,2.31
Thumb,Flick,4,0.92,1.45,1.13,2.31
Thumb,Flick,5,0.92,0.94,1.13,1.45
Thumb,Flick,6,0.77,0.94,0.92,1.45
Thumb,Flick,7,0.77,0.95,0.92,0.94
Thumb,Flick,8,1.39,0.95,0.77,0.94
Thumb,Flick,9,1.39,2.10,0.77,0.95
Thumb,Flick,10,1.10,2.10,1.39,0.95
Thumb,Flick,1,1.10,1.81,1.39,2.10
Thumb,Flick,2,0.76,1.81,1.10,2.10
Thumb,Flick,3,0.76,0.92,1.10,1.81
Thumb,Flick,4,0.63,0.92,0.76,1.81
Thumb,Flick,5,0.63,0.87,0.76,0.92
Thumb,Flick,6,0.60,0.87,0.63,0.92
Thumb,Flick,7,0.60,0.75,0.63,0.87
Thumb,Flick,8,1.56,0.75,0.60,0.87
Thumb,Flick,9,1.56,2.83,0.60,0.75
Thumb,Flick,10,0.75,2.83,1.56,0.75
Thumb,Flick,1,0.75,1.12,1.56,2.83
Thumb,Flick,2,0.44,1.12,0.75,2.83
Thumb,Flick,3,0.44,0.87,0.75,1.12
Thumb,Flick,4,0.42,0.87,0.44,1.12
Thumb,Flick,5,0.42,0.81,0.44,0.87
Thumb,Flick,6,1.17,0.81,0.42,0.87
Thumb,Flick,7,1.17,1.55,0.42,0.81
Thumb,Flick,8,0.81,1.55,1.17,0.81
Thumb,Flick,9,0.81,1.38,1.17,1.55
Thumb,Flick,10,0.51,1.38,0.81,1.55
Thumb,Flick,1,0.51,0.76,0.81,1.38
Thumb,Flick,2,0.46,0.76,0.51,1.38
Thumb,Flick,3,0.46,0.65,0.51,0.76
Thumb,Flick,4,0.42,0.65,0.46,0.76
Thumb,Flick,5,0.42,0.56,0.46,0.65
Thumb,Flick,6,1.24,0.56,0.42,0.65
Thumb,Flick,7,1.24,1.96,0.42,0.56
Thumb,Flick,8,0.68,1.96,1.24,0.56
Thumb,Flick,9,0.68,1.08,1.24,1.96
Thumb,Flick,10,0.55,1.08,0.68,1.96
Thumb,Flick,1,0.55,0.56,0.68,1.08
Thumb,Flick,2,0.43,0.56,0.55,1.08
Thumb,Flick,3,0.43,0.53,0.55,0.56
Thumb,Flick,4,0.33,0.53,0.43,0.56
Thumb,Flick,5,0.33,0.44,0.43,0.53
Thumb,Flick,6,1.18,0.44,0.33,0.53
Thumb,Flick,7,1.18,2.08,0.33,0.44
Thumb,Flick,8,0.75,2.08,1.18,0.44
Thumb,Flick,9,0.75,1.21,1.18,2.08
Thumb,Flick,10,0.57,1.21,0.75,2.08
Thumb,Flick,1,0.57,0.74,0.75,1.21
Thumb,Flick,2,0.41,0.74,0.57,1.21
Thumb,Flick,3,0.41,0.59,0.57,0.74
Thumb,Flick,4,0.38,0.59,0.41,0.74
Thumb,Flick,5,0.38,0.49,0.41,0.59
Thumb,Flick,6,0.28,0.49,0.38,0.59
Thumb,Flick,7,0.28,0.43,0.38,0.49
Thumb,Flick,8,1.61,0.43,0.28,0.49
Thumb,Flick,9,1.61,2.39,0.28,0.43
Thumb,Flick,10,0.79,2.39,1.61,0.43
Thumb,Flick,1,0.79,1.27,1.61,2.39
Thumb,Flick,2,0.53,1.27,0.79,2.39
Thumb,Flick,3,0.53,0.72,0.79,1.27
Thumb,Flick,4,0.36,0.72,0.53,1.27
Thumb,Flick,5,0.36,0.60,0.53,0.72
Thumb,Flick,6,0.33,0.60,0.36,0.72
Thumb,Flick,7,0.33,0.54,0.36,0.60
Thumb,Flick,8,0.32,0.54,0.33,0.60
Thumb,Flick,9,0.32,0.45,0.33,0.54
Thumb,Flick,10,1.69,0.45,0.32,0.54
Thumb,Flick,1,1.69,2.88,0.32,0.45
Thumb,Flick,2,0.83,2.88,1.69,0.45
Thumb,Flick,3,0.83,1.38,1.69,2.88
Thumb,Flick,4,0.64,1.38,0.83,2.88
Thumb,Flick,5,0.64,0.90,0.83,1.38
Thumb,Flick,6,0.52,0.90,0.64,1.38
Thumb,Flick,7,0.52,0.74,0.64,0.90
Thumb,Flick,8,0.37,0.74,0.52,0.90
Thumb,Flick,9,0.37,0.66,0.52,0.74
Thumb,Flick,10,0.39,0.61,0.37,0.66
Thumb,Flick,1,0.39,0.47,0.37,0.61
Thumb,Flick,2,1.26,0.47,0.39,0.61
Thumb,Flick,3,1.26,1.84,0.39,0.47
Thumb,Flick,4,0.70,1.84,1.26,0.47
Thumb,Flick,5,0.70,0.90,1.26,1.84
Thumb,Flick,6,0.53,0.90,0.70,1.84
Thumb,Flick,7,0.53,0.59,0.70,0.90
Thumb,Flick,8,0.41,0.59,0.53,0.90
Thumb,Flick,9,0.41,0.56,0.53,0.59
Thumb,Flick,10,0.40,0.56,0.41,0.59
Thumb,Flick,1,0.40,0.52,0.41,0.56
Thumb,Flick,2,0.32,0.52,0.40,0.56
Thumb,Flick,3,0.32,0.43,0.40,0.52
Thumb,Flick,4,0.31,0.43,0.32,0.52
Thumb,Flick,5,0.31,0.34,0.32,0.43
Thumb,Flick,6,1.12,0.34,0.31,0.43
Thumb,Flick,7,1.12,1.89,0.31,0.34
Thumb,Flick,8,0.73,1.89,1.12,0.34
Thumb,Flick,9,0.73,1.02,1.12,1.89
Thumb,Flick,10,0.62,1.02,0.73,1.89
Thumb,Flick,1,0.62,0.66,0.73,1.02
Thumb,Flick,2,0.43,0.66,0.62,1.02
Thumb,Flick,3,0.43,0.53,0.62,0.66
Thumb,Flick,4,0.48,0.53,0.43,0.66
Thumb,Flick,5,0.48,0.57,0.43,0.53
Thumb,Flick,6,0.44,0.57,0.48,0.53
Thumb,Flick,7,0.44,0.47,0.48,0.57
Thumb,Flick,8,1.35,0.47,0.44,0.57
Thumb,Flick,9,1.35,2.39,0.44,0.47
Thumb,Flick,10,0.71,2.39,1.35,0.47
Thumb,Flick,1,0.71,1.09,1.35,2.39
Thumb,Flick,2,0.53,1.09,0.71,2.39
Thumb,Flick,3,0.53,0.69,0.71,1.09
Thumb,Flick,4,0.47,0.69,0.53,1.09
Thumb,Flick,5,0.47,0.58,0.53,0.69
Thumb,Flick,6,0.40,0.66,0.47,0.58
Thumb,Flick,7,0.40,0.53,0.47,0.66
Thumb,Flick,8,0.34,0.53,0.40,0.66
Thumb,Flick,9,0.34,0.41,0.40,0.53
Thumb,Flick,10,1.03,0.41,0.34,0.53
Thumb,Flick,1,1.03,1.74,0.34,0.41
Thumb,Flick,2,0.69,1.74,1.03,0.41
Thumb,Flick,3,0.69,0.95,1.03,1.74
Thumb,Flick,4,0.52,0.95,0.69,1.74
Thumb,Flick,5,0.52,0.75,0.69,0.95
Thumb,Flick,6,0.42,0.75,0.52,0.95
Thumb,Flick,7,0.42,0.47,0.52,0.75
Thumb,Flick,8,0.40,0.47,0.42,0.75
Thumb,Flick,9,0.40,0.42,0.42,0.47
Thumb,Flick,10,0.74,0.42,0.40,0.47
Thumb,Flick,1,0.74,1.00,0.40,0.42
Thumb,Flick,2,0.67,1.00,0.74,0.42
Thumb,Flick,3,0.67,0.94,0.74,1.00
Thumb,Flick,4,0.58,0.94,0.67,1.00
Thumb,Flick,5,0.58,0.63,0.67,0.94
Thumb,Flick,6,0.45,0.63,0.58,0.94
Thumb,Flick,7,0.45,0.54,0.58,0.63
Thumb,Flick,8,0.39,0.54,0.45,0.63
Thumb,Flick,9,0.39,0.40,0.45,0.54
Thumb,Flick,10,0.73,0.40,0.39,0.54
Thumb,Flick,1,0.73,0.93,0.39,0.40
Thumb,Flick,2,1.08,0.93,0.73,0.40
Thumb,Flick,3,1.08,1.73,0.73,0.93
Thumb,Flick,4,0.59,1.73,1.08,0.93
Thumb,Flick,5,0.59,0.67,1.08,1.73
Thumb,Flick,6,0.47,0.67,0.59,1.73
Thumb,Flick,7,0.47,0.50,0.59,0.67
Thumb,Flick,8,0.60,0.50,0.47,0.67
Thumb,Flick,9,0.60,0.40,0.47,0.50
Thumb,Flick,10,0.53,0.40,0.60,0.50
Thumb,Flick,1,0.53,0.58,0.60,0.40
Thumb,Flick,2,0.87,0.58,0.53,0.40
Thumb,Flick,3,0.87,1.27,0.53,0.58
Thumb,Flick,4,0.54,1.27,0.87,0.58
Thumb,Flick,5,0.54,0.77,0.87,1.27
Thumb,Flick,6,0.48,0.77,0.54,1.27
Thumb,Flick,7,0.48,0.58,0.54,0.77
Thumb,Flick,8,0.42,0.58,0.48,0.77
Thumb,Flick,9,0.42,0.54,0.48,0.58
Thumb,Flick,10,0.39,0.54,0.42,0.58
Thumb,Flick,1,0.39,0.49,0.42,0.54
Thumb,Flick,2,0.31,0.49,0.39,0.54
Thumb,Flick,3,0.31,0.43,0.39,0.49
Thumb,Flick,4,0.42,0.43,0.31,0.49
Thumb,Flick,5,0.42,0.60,0.31,0.43
Thumb,Flick,6,1.92,0.60,0.42,0.43
Thumb,Flick,7,1.92,3.00,0.42,0.60
Thumb,Flick,8,1.62,3.00,1.92,0.60
Thumb,Flick,9,1.62,2.63,1.92,3.00
Thumb,Flick,10,1.24,2.63,1.62,3.00
Thumb,Flick,1,1.24,1.96,1.62,2.63
Thumb,Flick,2,1.49,1.96,1.24,2.63
Thumb,Flick,3,1.49,2.51,1.24,1.96
Thumb,Flick,4,0.95,2.51,1.49,1.96
Thumb,Flick,5,0.95,1.59,1.49,2.51
Thumb,Flick,6,0.57,1.59,0.95,2.51
Thumb,Flick,7,0.57,1.17,0.95,1.59
Thumb,Flick,8,0.45,1.17,0.57,1.59
Thumb,Flick,9,0.45,0.94,0.57,1.17
Thumb,Flick,10,0.77,0.94,0.45,1.17
Thumb,Flick,1,0.77,1.23,0.45,0.94
Thumb,Flick,2,1.29,1.23,0.77,0.94
Thumb,Flick,3,1.29,2.11,0.77,1.23
Thumb,Flick,4,0.90,2.11,1.29,1.23
Thumb,Flick,5,0.90,1.66,1.29,2.11
Thumb,Flick,6,1.23,1.66,0.90,2.11
Thumb,Flick,7,1.23,2.10,0.90,1.66
Thumb,Flick,8,1.09,2.10,1.23,1.66
Thumb,Flick,9,1.09,1.82,1.23,2.10
Thumb,Flick,10,0.95,1.82,1.09,2.10
Thumb,Flick,1,0.95,1.49,1.09,1.82
Thumb,Flick,2,1.06,1.49,0.95,1.82
Thumb,Flick,3,1.06,1.64,0.95,1.49
Thumb,Flick,4,1.04,1.64,1.06,1.49
Thumb,Flick,5,1.04,1.74,1.06,1.64
Thumb,Flick,6,1.42,1.74,1.04,1.64
Thumb,Flick,7,1.42,2.50,1.04,1.74
Thumb,Flick,8,1.47,2.50,1.42,1.74
Thumb,Flick,9,1.47,2.38,1.42,2.50
Thumb,Flick,10,1.13,2.38,1.47,2.50
Thumb,Flick,1,1.13,1.92,1.47,2.38
Thumb,Flick,2,1.06,1.92,1.13,2.38
Thumb,Flick,3,1.06,1.65,1.13,1.92
Thumb,Flick,4,1.14,1.65,1.06,1.92
Thumb,Flick,5,1.14,1.81,1.06,1.65
Thumb,Flick,6,1.19,1.81,1.14,1.65
Thumb,Flick,7,1.19,1.88,1.14,1.81
Thumb,Flick,8,1.30,1.88,1.19,1.81
Thumb,Flick,9,1.30,2.19,1.19,1.88
Thumb,Flick,10,1.41,2.19,1.30,1.88
Thumb,Flick,1,1.41,2.51,1.30,2.19
Thumb,Flick,2,1.05,2.51,1.41,2.19
Thumb,Flick,3,1.05,1.62,1.41,2.51
Thumb,Flick,4,1.04,1.62,1.05,2.51
Thumb,Flick,5,1.04,1.55,1.05,1.62
Thumb,Flick,6,1.13,1.55,1.04,1.62
Thumb,Flick,7,1.13,1.86,1.04,1.55
Thumb,Flick,8,0.95,1.86,1.13,1.55
Thumb,Flick,9,0.95,1.44,1.13,1.86
Thumb,Flick,10,0.89,1.44,0.95,1.86
Thumb,Flick,1,0.89,1.27,0.95,1.44
Thumb,Flick,2,0.84,1.27,0.89,1.44
Thumb,Flick,3,0.84,1.20,0.89,1.27
Thumb,Flick,4,0.81,1.20,0.84,1.27
Thumb,Flick,5,0.81,1.12,0.84,1.20
Thumb,Flick,6,0.76,1.12,0.81,1.20
Thumb,Flick,7,0.76,1.06,0.81,1.12
Thumb,Flick,8,0.88,1.06,0.76,1.12
Thumb,Flick,9,0.88,1.31,0.76,1.06
Thumb,Flick,10,0.57,1.31,0.88,1.06
Thumb,Flick,1,0.57,0.66,0.88,1.31
Thumb,Flick,2,0.49,0.66,0.57,1.31
Thumb,Flick,3,0.49,0.50,0.57,0.66
Thumb,Flick,4,0.57,0.50,0.49,0.66
Thumb,Flick,5,0.57,0.38,0.49,0.50
Thumb,Flick,6,1.07,0.38,0.57,0.50
Thumb,Flick,7,1.07,1.84,0.57,0.38
Thumb,Flick,8,0.84,1.84,1.07,0.38
Thumb,Flick,9,0.84,1.45,1.07,1.84
Thumb,Flick,10,0.74,1.45,0.84,1.84
Thumb,Flick,1,0.74,0.88,0.84,1.45
Thumb,Flick,2,0.52,0.88,0.74,1.45
Thumb,Flick,3,0.52,0.59,0.74,0.88
Thumb,Flick,4,0.44,0.59,0.52,0.88
Thumb,Flick,5,0.44,0.54,0.52,0.59
Thumb,Flick,6,1.65,0.54,0.44,0.59
Thumb,Flick,7,1.65,2.47,0.44,0.54
Thumb,Flick,8,1.54,2.47,1.65,0.54
Thumb,Flick,9,1.54,2.78,1.65,2.47
Thumb,Flick,10,0.99,2.78,1.54,2.47
Thumb,Flick,1,0.99,1.53,1.54,2.78
Thumb,Flick,2,0.63,1.53,0.99,2.78
Thumb,Flick,3,0.63,0.95,0.99,1.53
Thumb,Flick,4,0.43,0.95,0.63,1.53
Thumb,Flick,5,0.43,1.00,0.63,0.95
Thumb,Flick,6,1.29,1.00,0.43,0.95
Thumb,Flick,7,1.29,2.31,0.43,1.00
Thumb,Flick,8,1.20,2.31,1.29,1.00
Thumb,Flick,9,1.20,2.14,1.29,2.31
Thumb,Flick,10,0.67,2.14,1.20,2.31
Thumb,Flick,1,0.67,1.07,1.20,2.14
Thumb,Flick,2,0.56,1.07,0.67,2.14
Thumb,Flick,3,0.56,1.02,0.67,1.07
Thumb,Flick,4,1.17,1.02,0.56,1.07
Thumb,Flick,5,1.17,1.94,0.56,1.02
Thumb,Flick,6,1.40,1.94,1.17,1.02
Thumb,Flick,7,1.40,2.44,1.17,1.94
Thumb,Flick,8,1.11,2.44,1.40,1.94
Thumb,Flick,9,1.11,1.72,1.40,2.44
Thumb,Flick,10,0.69,1.72,1.11,2.44
Thumb,Flick,1,0.69,1.08,1.11,1.72
Thumb,Flick,2,0.50,1.08,0.69,1.72
Thumb,Flick,3,0.50,0.97,0.69,1.08
Thumb,Flick,4,1.39,0.97,0.50,1.08
Thumb,Flick,5,1.39,2.11,0.50,0.97
Thumb,Flick,6,0.82,2.11,1.39,0.97
Thumb,Flick,7,0.82,1.18,1.39,2.11
Thumb,Flick,8,0.51,1.18,0.82,2.11
Thumb,Flick,9,0.51,0.89,0.82,1.18
Thumb,Flick,10,0.44,0.89,0.51,1.18
Thumb,Flick,1,0.44,0.90,0.51,0.89
Thumb,Flick,2,0.77,0.90,0.44,0.89
Thumb,Flick,3,0.77,1.11,0.44,0.90
Thumb,Flick,4,1.09,1.11,0.77,0.90
Thumb,Flick,5,1.09,1.61,0.77,1.11
Thumb,Flick,6,0.60,1.61,1.09,1.11
Thumb,Flick,7,0.60,0.84,1.09,1.61
Thumb,Flick,8,0.48,0.84,0.60,1.61
Thumb,Flick,9,0.48,0.79,0.60,0.84
Thumb,Flick,10,0.37,0.79,0.48,0.84
Thumb,Flick,1,0.37,0.81,0.48,0.79
Thumb,Flick,2,1.16,0.81,0.37,0.79
Thumb,Flick,3,1.16,1.95,0.37,0.81
Thumb,Flick,4,0.65,1.95,1.16,0.81
Thumb,Flick,5,0.65,1.05,1.16,1.95
Thumb,Flick,6,0.35,1.05,0.65,1.95
Thumb,Flick,7,0.35,0.77,0.65,1.05
Thumb,Flick,8,0.46,0.77,0.35,1.05
Thumb,Flick,9,0.46,0.76,0.35,0.77
Thumb,Flick,10,0.53,0.76,0.46,0.77
Thumb,Flick,1,0.53,0.85,0.46,0.76
Thumb,Flick,2,1.69,0.85,0.53,0.76
Thumb,Flick,3,1.69,2.41,0.53,0.85
Thumb,Flick,4,0.82,2.41,1.69,0.85
Thumb,Flick,5,0.82,0.95,1.69,2.41
Thumb,Flick,6,0.58,0.95,0.82,2.41
Thumb,Flick,7,0.58,0.80,0.82,0.95
Thumb,Flick,8,0.48,0.80,0.58,0.95
Thumb,Flick,9,0.48,0.84,0.58,0.80
Thumb,Flick,10,1.04,0.84,0.48,0.80
Thumb,Flick,1,1.04,1.70,0.48,0.84
Thumb,Flick,2,0.86,1.70,1.04,0.84
Thumb,Flick,3,0.86,1.23,1.04,1.70
Thumb,Flick,4,0.67,1.23,0.86,1.70
Thumb,Flick,5,0.67,0.97,0.86,1.23
Thumb,Flick,6,0.46,0.97,0.67,1.23
Thumb,Flick,7,0.46,0.75,0.67,0.97
Thumb,Flick,8,0.52,0.75,0.46,0.97
Thumb,Flick,9,0.52,0.59,0.46,0.75
Thumb,Flick,10,1.14,0.59,0.52,0.75
Thumb,Flick,1,1.14,1.87,0.52,0.59
Thumb,Flick,2,0.93,1.87,1.14,0.59
Thumb,Flick,3,0.93,1.69,1.14,1.87
Thumb,Flick,4,0.66,1.69,0.93,1.87
Thumb,Flick,5,0.66,0.94,0.93,1.69
Thumb,Flick,6,0.54,0.94,0.66,1.69
Thumb,Flick,7,0.54,0.71,0.66,0.94
Thumb,Flick,8,0.45,0.71,0.54,0.94
Thumb,Flick,9,0.45,0.72,0.54,0.71
Thumb,Flick,10,1.56,0.72,0.45,0.71
Thumb,Flick,1,1.56,2.78,0.45,0.72
Thumb,Flick,2,1.09,2.78,1.56,0.72
Thumb,Flick,3,1.09,1.72,1.56,2.78
Thumb,Flick,4,0.58,1.72,1.09,2.78
Thumb,Flick,5,0.58,0.85,1.09,1.72
Thumb,Flick,6,0.49,0.85,0.58,1.72
Thumb,Flick,7,0.57,0.79,0.49,0.85
Thumb,Flick,8,1.37,0.79,0.57,0.85
Thumb,Flick,9,1.37,2.38,0.57,0.79
Thumb,Flick,10,1.24,2.38,1.37,0.79
Thumb,Flick,1,1.24,2.01,1.37,2.38
Thumb,Flick,2,0.65,2.01,1.24,2.38
Thumb,Flick,3,0.65,1.01,1.24,2.01
Thumb,Flick,4,0.69,1.01,0.65,2.01
Thumb,Flick,5,0.69,0.87,0.65,1.01
Thumb,Flick,6,1.33,0.87,0.69,1.01
Thumb,Flick,7,1.33,2.04,0.69,0.87
Thumb,Flick,8,1.01,2.04,1.33,0.87
Thumb,Flick,9,1.01,2.01,1.33,2.04
Thumb,Flick,10,0.52,2.01,1.01,2.04
Thumb,Flick,1,0.52,1.05,1.01,2.01
Thumb,Flick,2,0.53,1.05,0.52,2.01
Thumb,Flick,3,0.53,0.83,0.52,1.05
Thumb,Flick,4,0.88,0.83,0.53,1.05
Thumb,Flick,5,0.88,1.41,0.53,0.83
Thumb,Flick,6,1.37,1.41,0.88,0.83
Thumb,Flick,7,1.37,2.18,0.88,1.41
Thumb,Flick,8,1.01,2.18,1.37,1.41
Thumb,Flick,9,1.01,1.47,1.37,2.18
Thumb,Flick,10,0.68,1.47,1.01,2.18
Thumb,Flick,1,0.68,1.01,1.01,1.47
Thumb,Flick,2,0.44,1.01,0.68,1.47
Thumb,Flick,3,0.44,0.84,0.68,1.01
Thumb,Flick,4,0.82,0.84,0.44,1.01
Thumb,Flick,5,0.82,1.44,0.44,0.84
Thumb,Flick,6,1.51,1.44,0.82,0.84
Thumb,Flick,7,1.51,2.41,0.82,1.44
Thumb,Flick,8,0.75,2.41,1.51,1.44
Thumb,Flick,9,0.75,1.02,1.51,2.41
Thumb,Flick,10,0.53,1.02,0.75,2.41
Thumb,Flick,1,0.53,0.91,0.75,1.02
Thumb,Flick,2,0.43,0.91,0.53,1.02
Thumb,Flick,3,0.43,0.65,0.53,0.91
Thumb,Flick,4,1.31,0.65,0.43,0.91
Thumb,Flick,5,1.31,1.98,0.43,0.65
Thumb,Flick,6,0.62,1.98,1.31,0.65
Thumb,Flick,7,0.62,0.85,1.31,1.98
Thumb,Flick,8,0.42,0.85,0.62,1.98
Thumb,Flick,9,0.42,0.64,0.62,0.85
Thumb,Flick,10,0.52,0.64,0.42,0.85
Thumb,Flick,1,0.52,0.60,0.42,0.64
Thumb,Flick,2,0.53,0.60,0.52,0.64
Thumb,Flick,3,0.53,0.63,0.52,0.60
Thumb,Flick,4,1.35,0.63,0.53,0.60
Thumb,Flick,5,1.35,1.99,0.53,0.63
Thumb,Flick,6,0.69,1.99,1.35,0.63
Thumb,Flick,7,0.69,0.84,1.35,1.99
Thumb,Flick,8,0.59,0.84,0.69,1.99
Thumb,Flick,9,0.59,0.67,0.69,0.84
Thumb,Flick,10,0.52,0.67,0.59,0.84
Thumb,Flick,1,0.52,0.59,0.59,0.67
Thumb,Flick,2,1.46,0.59,0.52,0.67
Thumb,Flick,3,1.46,2.02,0.52,0.59
Thumb,Flick,4,0.89,2.02,1.46,0.59
Thumb,Flick,5,0.89,1.26,1.46,2.02
Thumb,Flick,6,0.61,1.26,0.89,2.02
Thumb,Flick,7,0.61,0.82,0.89,1.26
Thumb,Flick,8,0.43,0.82,0.61,1.26
Thumb,Flick,9,0.43,0.71,0.61,0.82
Thumb,Flick,10,0.64,0.71,0.43,0.82
Thumb,Flick,1,0.64,0.87,0.43,0.71
Thumb,Flick,2,1.12,0.87,0.64,0.71
Thumb,Flick,3,1.12,1.51,0.64,0.87
Thumb,Flick,4,0.61,1.51,1.12,0.87
Thumb,Flick,5,0.61,0.71,1.12,1.51
Thumb,Flick,6,0.45,0.71,0.61,1.51
Thumb,Flick,7,0.45,0.63,0.61,0.71
Thumb,Flick,8,0.46,0.63,0.45,0.71
Thumb,Flick,9,0.46,0.51,0.45,0.63
Thumb,Flick,10,1.52,0.51,0.46,0.63
Thumb,Flick,1,1.52,2.48,0.46,0.51
Thumb,Flick,2,0.94,2.48,1.52,0.51
Thumb,Flick,3,0.94,1.57,1.52,2.48
Thumb,Flick,4,0.59,1.57,0.94,2.48
Thumb,Flick,5,0.59,0.90,0.94,1.57
Thumb,Flick,6,0.51,0.90,0.59,1.57
Thumb,Flick,7,0.51,0.68,0.59,0.90
Thumb,Flick,8,0.70,0.68,0.51,0.90
Thumb,Flick,9,0.70,1.03,0.51,0.68
Thumb,Flick,10,1.60,1.03,0.70,0.68
Thumb,Flick,1,1.60,2.61,0.70,1.03
Thumb,Flick,2,0.70,2.61,1.60,1.03
Thumb,Flick,3,0.70,1.10,1.60,2.61
Thumb,Flick,4,0.47,1.10,0.70,2.61
Thumb,Flick,5,0.47,0.80,0.70,1.10
Thumb,Flick,6,0.34,0.80,0.47,1.10
Thumb,Flick,7,0.34,0.65,0.47,0.80
Thumb,Flick,8,0.84,0.65,0.34,0.80
Thumb,Flick,9,0.84,1.16,0.34,0.65
Thumb,Flick,10,1.41,1.16,0.84,0.65
Thumb,Flick,1,1.41,2.23,0.84,1.16
Thumb,Flick,2,0.75,2.23,1.41,1.16
Thumb,Flick,3,0.75,1.02,1.41,2.23
Thumb,Flick,4,0.55,1.02,0.75,2.23
Thumb,Flick,5,0.55,0.77,0.75,1.02
Thumb,Flick,6,0.81,0.77,0.55,1.02
Thumb,Flick,7,0.81,1.09,0.55,0.77
Thumb,Flick,8,1.05,1.09,0.81,0.77
Thumb,Flick,9,1.05,1.85,0.81,1.09
Thumb,Flick,10,0.62,1.85,1.05,1.09
Thumb,Flick,1,0.62,0.86,1.05,1.85
Thumb,Flick,2,0.46,0.86,0.62,1.85
Thumb,Flick,3,0.46,0.73,0.62,0.86
Thumb,Flick,4,0.37,0.73,0.46,0.86
Thumb,Flick,5,0.37,0.55,0.46,0.73
Thumb,Flick,6,1.36,0.55,0.37,0.73
Thumb,Flick,7,1.36,2.18,0.37,0.55
Thumb,Flick,8,0.70,2.18,1.36,0.55
Thumb,Flick,9,0.70,0.93,1.36,2.18
Thumb,Flick,10,0.55,0.93,0.70,2.18
Thumb,Flick,1,0.55,0.62,0.70,0.93
Thumb,Flick,2,0.51,0.62,0.55,0.93
